author,clean_image_urls,description,illustrator,introduceder,price,title,url
Stephen Hawking,"https://www.foliosociety.com/media/catalog/product/n/o/nol_main.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/n/o/nol_001.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/n/o/nol_010.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/n/o/nol_002.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/n/o/nol_003.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/n/o/nol_004.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/n/o/nol_005.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/n/o/nol_007.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/n/o/nol_008.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700","Commemorating the 500th anniversary of the death of Leonardo da Vinci, this magnificent Folio collector’s edition reveals his brilliance in three beautifully illustrated volumes with stunning gold-blocked bindings.",,,£240.00,The Notebooks of Leonardo da Vinci,https://www.foliosociety.com/row/the-notebooks-of-leonardo-da-vinci.html
Captain Charles Johnson,"https://www.foliosociety.com/media/catalog/product/p/i/pir_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/p/i/pir_s_09.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/p/i/pir_s_13.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/p/i/pir_s_14.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/p/i/pir_s_15.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/p/i/pir_s_17.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700","The bloodthirsty biographies of the world’s most infamous pirates are reproduced in this Folio edition of Captain Charles Johnson’s renowned work, including original woodcut illustrations and a fascinating introduction by Margarette Lincoln.",,,£44.95,A General History of the Robberies & Murders of the Most Notorious Pirates,https://www.foliosociety.com/row/a-general-history-of-the-robberies-murders-of-the-most-notorious-pirates.html
David Crystal,"https://www.foliosociety.com/media/catalog/product/d/c/dcy_book.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/d/c/dcy_01.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/s/t/stories_2.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/s/t/stories_of_eng_1.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700","A new Folio Society edition of eminent linguist David Crystal’s commanding history shows how English turned into a rich, diverse global language, spoken by well over two billion people.",,,£95.00,The Stories of English,https://www.foliosociety.com/row/the-stories-of-english.html
Edited by John Cherry,"https://www.foliosociety.com/media/catalog/product/b/s/bst_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/b/s/bst_gallery_1.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/b/s/bst_gallery.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/b/s/bst_gallery_2.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/b/s/bst_gallery_3.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/b/s/bst_gallery_4.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/b/s/bst_gallery_7.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/b/s/bst_gallery_5.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/b/s/bst_gallery_6.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/b/s/bst_gallery_8.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700","A fascinating history of the creatures that populate myths and folklore, John Cherry’s Mythical Beasts is beautifully reimagined as a Folio edition illustrated with archive images and Neil Packer’s striking new motifs and binding design.",,,£60.00,Mythical Beasts,https://www.foliosociety.com/row/mythical-beasts.html
Maya Angelou,"https://www.foliosociety.com/media/catalog/product/k/w/kwb_book.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/k/w/kwb_01.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/k/w/kwb_02.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/c/a/caged_b_1.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/k/w/kwb_03.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/c/a/caged_b2.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/k/w/kwb_04.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700",Maya Angelou’s empowering and moving memoir I Know Why the Caged Bird Sings is newly introduced and illustrated in this beautifully crafted Folio edition.,,,£47.95,I Know Why the Caged Bird Sings,https://www.foliosociety.com/row/i-know-why-the-caged-bird-sings.html
Charles Darwin,"https://www.foliosociety.com/media/catalog/product/d/s/dsm_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/d/s/dsm_04.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/d/s/dsm_03.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/d/s/dsm_01.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/d/s/dsm_02.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700","Charles Darwin’s The Descent of Man applies his revolutionary theory to human evolution. This exceptional Folio collector’s edition is introduced by Richard Dawkins and includes numerous colour illustrations, as well as diagrams and figures. ",,,£70.00,The Descent of Man,https://www.foliosociety.com/row/the-descent-of-man.html
Charles Darwin,"https://www.foliosociety.com/media/catalog/product/o/o/oos_book.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/o/o/oos_s_05.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700",No book has revolutionised our view of life on earth more than Charles Darwin’s On the Origin of Species. Yet its enduring popularity is a testament to the immense energy and startling simplicity with which Darwin makes his revelations.,,,£70.00,On the Origin of Species,https://www.foliosociety.com/row/on-the-origin-of-species.html
Studs Terkel,"https://www.foliosociety.com/media/catalog/product/w/r/wrk_book.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/w/r/wrk_01.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/w/r/wrk_02.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/w/r/wrk_03.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/w/r/wrk_pic.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/w/r/wrk_04.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/w/r/wrk_pic2.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/w/r/wrk_05.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/w/r/wrk_06.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/w/r/wrk_pic4.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/w/r/wrk_07.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700","The fascinating working lives of ordinary people are revealed in Studs Terkel’s masterful chronicle of American life, published as an illustrated edition for the first time by Folio.",,,£75.00,Working,https://www.foliosociety.com/row/working.html
Ryszard Kapuściński,"https://www.foliosociety.com/media/catalog/product/k/a/kap_book.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/k/a/kap_01.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/k/a/kap_02.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/k/a/kap_03.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/k/a/kap_04.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700","Illustrated with archive photography, Ryszard Kapuściński’s masterpiece of reportage, Shah of Shahs, is a welcome addition to the Folio collection.",,,£49.95,Shah of Shahs,https://www.foliosociety.com/row/shah-of-shahs.html
Sun-tzu,"https://www.foliosociety.com/media/catalog/product/a/o/aow_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/o/aow_99_3.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/o/aow_96_3.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/o/aow_01.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/o/aow_98_3.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/o/aow_02.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/a/o/aow_97_3.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700","Written more than 2,500 years ago, The Art of War remains the most famous military treatise of all time. Sun-tzu’s collection of precepts on strategic warfare has yet to be surpassed.",,,£60.00,The Art of War,https://www.foliosociety.com/row/the-art-of-war.html
Murray Pittock,"https://www.foliosociety.com/media/catalog/product/c/u/cull_book.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/c/u/culloden_gallery_3.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/c/u/cull_01.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/c/u/cull_02.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/c/u/cull_03.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/c/u/cull_04.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/c/u/cull_05.jpg?quality=80&fit=bounds&height=700&width=700&canvas=700:700","Fully illustrated and part of the Folio Society’s Great Battles series, Murray Pittock’s Culloden boldly reassesses the last battle fought on British soil – a clash that ended the Jacobite uprising. ",,,£47.95,Culloden,https://www.foliosociety.com/row/culloden.html
Nora Chadwick,"https://www.foliosociety.com/media/catalog/product/c/l/clt_book.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/c/l/clt_01.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/c/l/clt_02.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/c/l/clt_03.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/c/l/clt_04.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/c/l/clt_05.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700","A captivating edition of the classic survey of the rise and spread of the Celts, with new colour photography.",,,£65.00,The Celts,https://www.foliosociety.com/row/the-celts.html
Gwyn Jones,"https://www.foliosociety.com/media/catalog/product/v/i/vik_book.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/v/i/vik_02.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/v/i/vik_03.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/v/i/vik_04.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/v/i/vik_01.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,https://www.foliosociety.com/media/catalog/product/v/i/vik_05.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700","Gwyn Jones dispels the myths of an empire built on terror and tyranny, in The Vikings; now in its seventh Folio Society printing.",,,£65.00,The Vikings,https://www.foliosociety.com/row/vikings.html
